Aug  9 10:17:19 raspberrypi seqgen2: Sequencer cycle 72 @ sec=4, msec=190
Aug  9 10:17:19 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=4, msec=190
Aug  9 10:17:19 raspberrypi seqgen2: 10HZ W1 thread release 36 @ sec=4, msec=190
Aug  9 10:17:19 raspberrypi seqgen2: Sequencer cycle 73 @ sec=4, msec=240
Aug  9 10:17:19 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=4, msec=240
Aug  9 10:17:19 raspberrypi seqgen2: Sequencer cycle 74 @ sec=4, msec=290
Aug  9 10:17:19 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=4, msec=290
Aug  9 10:17:19 raspberrypi seqgen2: 10HZ W1 thread release 37 @ sec=4, msec=290
Aug  9 10:17:19 raspberrypi seqgen2: Sequencer cycle 75 @ sec=4, msec=340
Aug  9 10:17:19 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=4, msec=340
Aug  9 10:17:19 raspberrypi seqgen2: Sequencer cycle 76 @ sec=4, msec=390
Aug  9 10:17:19 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=4, msec=390
Aug  9 10:17:19 raspberrypi seqgen2: 10HZ W1 thread release 38 @ sec=4, msec=391
Aug  9 10:17:19 raspberrypi seqgen2: Sequencer cycle 77 @ sec=4, msec=441
Aug  9 10:17:19 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=4, msec=441
Aug  9 10:17:19 raspberrypi seqgen2: Sequencer cycle 78 @ sec=4, msec=491
Aug  9 10:17:19 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=4, msec=491
Aug  9 10:17:19 raspberrypi seqgen2: 10HZ W1 thread release 39 @ sec=4, msec=491
Aug  9 10:17:19 raspberrypi seqgen2: Sequencer cycle 79 @ sec=4, msec=541
Aug  9 10:17:19 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=4, msec=541
Aug  9 10:17:19 raspberrypi seqgen2: Sequencer cycle 80 @ sec=4, msec=591
Aug  9 10:17:19 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=4, msec=591
Aug  9 10:17:19 raspberrypi seqgen2: 10HZ W1 thread release 40 @ sec=4, msec=591
Aug  9 10:17:19 raspberrypi seqgen2: 1HZ W2 release 4 @ sec=4, msec=591
Aug  9 10:17:19 raspberrypi seqgen2: Sequencer cycle 81 @ sec=4, msec=641
Aug  9 10:17:19 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=4, msec=641
Aug  9 10:17:19 raspberrypi seqgen2: Sequencer cycle 82 @ sec=4, msec=691
Aug  9 10:17:19 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=4, msec=691
Aug  9 10:17:19 raspberrypi seqgen2: 10HZ W1 thread release 41 @ sec=4, msec=691
Aug  9 10:17:19 raspberrypi seqgen2: Sequencer cycle 83 @ sec=4, msec=742
Aug  9 10:17:19 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=4, msec=742
Aug  9 10:17:19 raspberrypi seqgen2: Sequencer cycle 84 @ sec=4, msec=792
Aug  9 10:17:19 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=4, msec=792
Aug  9 10:17:19 raspberrypi seqgen2: 10HZ W1 thread release 42 @ sec=4, msec=792
Aug  9 10:17:19 raspberrypi seqgen2: Sequencer cycle 85 @ sec=4, msec=842
Aug  9 10:17:19 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=4, msec=842
Aug  9 10:17:19 raspberrypi seqgen2: Sequencer cycle 86 @ sec=4, msec=892
Aug  9 10:17:19 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=4, msec=892
Aug  9 10:17:19 raspberrypi seqgen2: 10HZ W1 thread release 43 @ sec=4, msec=892
Aug  9 10:17:19 raspberrypi seqgen2: Sequencer cycle 87 @ sec=4, msec=942
Aug  9 10:17:19 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=4, msec=942
Aug  9 10:17:19 raspberrypi seqgen2: Sequencer cycle 88 @ sec=4, msec=992
Aug  9 10:17:19 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=4, msec=992
Aug  9 10:17:19 raspberrypi seqgen2: 10HZ W1 thread release 44 @ sec=4, msec=992
Aug  9 10:17:20 raspberrypi seqgen2: Sequencer cycle 89 @ sec=5, msec=42
Aug  9 10:17:20 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=5, msec=42
Aug  9 10:17:20 raspberrypi seqgen2: Sequencer cycle 90 @ sec=5, msec=93
Aug  9 10:17:20 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=5, msec=93
Aug  9 10:17:20 raspberrypi seqgen2: 10HZ W1 thread release 45 @ sec=5, msec=93
Aug  9 10:17:20 raspberrypi seqgen2: Sequencer cycle 91 @ sec=5, msec=143
Aug  9 10:17:20 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=5, msec=143
Aug  9 10:17:20 raspberrypi seqgen2: Sequencer cycle 92 @ sec=5, msec=193
Aug  9 10:17:20 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=5, msec=193
Aug  9 10:17:20 raspberrypi seqgen2: 10HZ W1 thread release 46 @ sec=5, msec=193
Aug  9 10:17:20 raspberrypi seqgen2: Sequencer cycle 93 @ sec=5, msec=243
Aug  9 10:17:20 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=5, msec=243
Aug  9 10:17:20 raspberrypi seqgen2: Sequencer cycle 94 @ sec=5, msec=293
Aug  9 10:17:20 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=5, msec=293
Aug  9 10:17:20 raspberrypi seqgen2: 10HZ W1 thread release 47 @ sec=5, msec=293
Aug  9 10:17:20 raspberrypi seqgen2: Sequencer cycle 95 @ sec=5, msec=343
Aug  9 10:17:20 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=5, msec=343
Aug  9 10:17:20 raspberrypi seqgen2: Sequencer cycle 96 @ sec=5, msec=394
Aug  9 10:17:20 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=5, msec=394
Aug  9 10:17:20 raspberrypi seqgen2: 10HZ W1 thread release 48 @ sec=5, msec=394
Aug  9 10:17:20 raspberrypi seqgen2: Sequencer cycle 97 @ sec=5, msec=444
Aug  9 10:17:20 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=5, msec=444
Aug  9 10:17:20 raspberrypi seqgen2: Sequencer cycle 98 @ sec=5, msec=494
Aug  9 10:17:20 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=5, msec=494
Aug  9 10:17:20 raspberrypi seqgen2: 10HZ W1 thread release 49 @ sec=5, msec=494
Aug  9 10:17:20 raspberrypi seqgen2: Sequencer cycle 99 @ sec=5, msec=544
Aug  9 10:17:20 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=5, msec=544
Aug  9 10:17:20 raspberrypi seqgen2: Sequencer cycle 100 @ sec=5, msec=594
Aug  9 10:17:20 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=5, msec=594
Aug  9 10:17:20 raspberrypi seqgen2: 10HZ W1 thread release 50 @ sec=5, msec=594
Aug  9 10:17:20 raspberrypi seqgen2: 1HZ W2 release 5 @ sec=5, msec=594
Aug  9 10:17:20 raspberrypi seqgen2: Sequencer cycle 101 @ sec=5, msec=644
Aug  9 10:17:20 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=5, msec=644
Aug  9 10:17:20 raspberrypi seqgen2: Sequencer cycle 102 @ sec=5, msec=695
Aug  9 10:17:20 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=5, msec=695
Aug  9 10:17:20 raspberrypi seqgen2: 10HZ W1 thread release 51 @ sec=5, msec=695
Aug  9 10:17:20 raspberrypi seqgen2: Sequencer cycle 103 @ sec=5, msec=745
Aug  9 10:17:20 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=5, msec=745
Aug  9 10:17:20 raspberrypi seqgen2: Sequencer cycle 104 @ sec=5, msec=795
Aug  9 10:17:20 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=5, msec=795
Aug  9 10:17:20 raspberrypi seqgen2: 10HZ W1 thread release 52 @ sec=5, msec=795
Aug  9 10:17:20 raspberrypi seqgen2: Sequencer cycle 105 @ sec=5, msec=845
Aug  9 10:17:20 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=5, msec=845
Aug  9 10:17:20 raspberrypi seqgen2: Sequencer cycle 106 @ sec=5, msec=895
Aug  9 10:17:20 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=5, msec=895
Aug  9 10:17:20 raspberrypi seqgen2: 10HZ W1 thread release 53 @ sec=5, msec=895
Aug  9 10:17:20 raspberrypi seqgen2: Sequencer cycle 107 @ sec=5, msec=945
Aug  9 10:17:20 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=5, msec=945
Aug  9 10:17:20 raspberrypi seqgen2: Sequencer cycle 108 @ sec=5, msec=996
Aug  9 10:17:20 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=5, msec=996
Aug  9 10:17:21 raspberrypi seqgen2: 10HZ W1 thread release 54 @ sec=5, msec=996
Aug  9 10:17:21 raspberrypi seqgen2: Sequencer cycle 109 @ sec=6, msec=46
Aug  9 10:17:21 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=6, msec=46
Aug  9 10:17:21 raspberrypi seqgen2: Sequencer cycle 110 @ sec=6, msec=96
Aug  9 10:17:21 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=6, msec=96
Aug  9 10:17:21 raspberrypi seqgen2: 10HZ W1 thread release 55 @ sec=6, msec=96
Aug  9 10:17:21 raspberrypi seqgen2: Sequencer cycle 111 @ sec=6, msec=146
Aug  9 10:17:21 raspberrypi seqgen2: Sequencer thread prior to delay @ sec=6, msec=146
Aug  9 10:17:21 raspberrypi seqgen2: Sequencer cycle 112 @ sec=6, msec=196
